Wavelength (nm),Reflectance Factor (%)
1411,93.249846
1412,93.408205
1413,93.267375
1414,93.274461
1415,93.253428
1416,93.279195
1417,93.270635
1418,93.2527
1419,93.269157
1420,93.281139
1421,93.270949
1422,93.267747
1423,93.262559
1424,93.271233
1425,93.274318
1426,93.26837
1427,93.27043
1428,93.251812
1429,93.160662
1430,93.267253
1431,93.250067
1432,93.270037
1433,93.277633
1434,93.252162
1435,93.154917
1436,93.295528
1437,93.285722
1438,93.280746
1439,93.279227
1440,93.282563
1441,93.342168
1442,93.424422
1443,93.300845
1444,93.27116
1445,93.293287
1446,93.281761
1447,93.254994
1448,93.264774
1449,93.286828
1450,93.273418
1451,93.254834
1452,93.310408
1453,93.404608
1454,93.258067
1455,93.189723
1456,93.318757
1457,93.329065
1458,93.333173
1459,93.360077
1460,93.376481
1461,93.176083
1462,93.290189
1463,93.406485
1464,93.31845
1465,93.265583
1466,93.242403
1467,93.447092
1468,93.35316
1469,93.19312
1470,93.298383
1471,93.218203
1472,93.242964
1473,93.374317
1474,93.293178
1475,93.28111
1476,93.339578
1477,93.304465
1478,93.180888
1479,93.269611
1480,93.275149
1481,93.303741
1482,93.30779
1483,93.31024
1484,93.318622
1485,93.32328
1486,93.310324
1487,93.316514
1488,93.325809
1489,93.318457
1490,93.306817
1491,93.324732
1492,93.335044
1493,93.327555
1494,93.328234
1495,93.316768
1496,93.299977
1497,93.310931
1498,93.321102
1499,93.311849
1500,93.317851
1501,93.317372
1502,93.318654
1503,93.33972
1504,93.340586
1505,93.32705
1506,93.232224
1507,93.357824
1508,93.403336
1509,93.319904
1510,93.336918
1511,93.347881
1512,93.34124
1513,93.348165
1514,93.352438
1515,93.336833
1516,93.346303
1517,93.347577
1518,93.347936
1519,93.24312
1520,93.374853
1521,93.403198
1522,93.343227
1523,93.351313
1524,93.356961
1525,93.230528
1526,93.363349
1527,93.368661
1528,93.311767
1529,93.325169
1530,93.322838
1531,93.318928
1532,93.315059
1533,93.323014
1534,93.319082
1535,93.425509
1536,93.231641
1537,93.246734
1538,93.303229
1539,93.176941
1540,93.367099
1541,93.347561
1542,93.319334
1543,93.294741
1544,93.294887
1545,93.448613
1546,93.239273
1547,93.256521
1548,93.300398
1549,93.316916
1550,93.31445
1551,93.205256
1552,93.276986
1553,93.293659
1554,93.307469
1555,93.452061
1556,93.366142
1557,93.324348
1558,93.31954
1559,93.317372
1560,93.304848
1561,93.30553
1562,93.301529
1563,93.441984
1564,93.343447
1565,93.312222
1566,93.184615
1567,93.269727
1568,93.316233
1569,93.306847
1570,93.164518
1571,93.300188
1572,93.419485
1573,93.328229
1574,93.281991
1575,93.442664
1576,93.333865
1577,93.155638
1578,93.268963
1579,93.161518
1580,93.2808
1581,93.451845
1582,93.301583
1583,93.43224
1584,93.166451
1585,93.268156
1586,93.156868
1587,93.444214
1588,93.302634
1589,93.452004
1590,93.299658
1591,92.961586
1592,93.276702
1593,93.444994
1594,93.3208
1595,93.467869
1596,93.184814
